rank,name,confed,off,def,spi
1,Spain,UEFA,3.38,0.58,90.79
2,Brazil,CONMEBOL,2.91,0.37,90.65
3,Germany,UEFA,3.11,0.59,88.78
4,Belgium,UEFA,2.95,0.56,87.97
5,Argentina,CONMEBOL,2.57,0.42,86.98
6,Netherlands,UEFA,2.83,0.58,86.51
7,England,UEFA,2.71,0.54,86.09
8,France,UEFA,2.69,0.54,85.77
9,Uruguay,CONMEBOL,2.35,0.48,83.28
10,Colombia,CONMEBOL,2.19,0.41,82.87
11,Portugal,UEFA,2.39,0.57,82.08
12,Italy,UEFA,2.28,0.51,81.9
13,Switzerland,UEFA,2.41,0.69,79.93
14,Croatia,UEFA,2.45,0.74,79.28
15,Russia,UEFA,2.23,0.72,76.67
16,Mexico,CONCACAF,2.24,0.74,76.36
17,Denmark,UEFA,2.09,0.66,75.97
18,Chile,CONMEBOL,2.13,0.7,75.78
19,Sweden,UEFA,2.1,0.7,75.22
20,Austria,UEFA,2.05,0.68,74.94
21,Ukraine,UEFA,1.96,0.7,72.88
22,Peru,CONMEBOL,1.88,0.68,72.12
23,Serbia,UEFA,2.11,0.87,71.48
24,Japan,AFC,1.98,0.8,70.86
25,Algeria,CAF,1.97,0.8,70.71
26,Poland,UEFA,1.88,0.75,70.24
27,Iran,AFC,1.74,0.65,70.22
28,Senegal,CAF,1.65,0.59,70.15
29,Norway,UEFA,1.91,0.79,70.05
30,Ghana,CAF,1.64,0.58,69.93
31,USA,CONCACAF,1.88,0.77,69.75
32,Czech Republic,UEFA,1.98,0.9,68.63
33,Venezuela,CONMEBOL,1.83,0.78,68.63
34,Bosnia and Herzegovina,UEFA,1.99,0.92,68.3
35,Wales,UEFA,1.77,0.75,68.22
36,Turkey,UEFA,1.86,0.83,68.11
37,Ecuador,CONMEBOL,1.81,0.8,67.71
38,Paraguay,CONMEBOL,1.79,0.79,67.54
39,Australia,AFC,1.97,0.96,67.12
40,Slovakia,UEFA,1.94,0.94,66.8
41,Morocco,CAF,1.65,0.77,65.53
42,Ivory Coast,CAF,1.73,0.86,65.0
43,Mali,CAF,1.59,0.74,64.95
44,South Korea,AFC,1.56,0.8,62.97
45,Nigeria,CAF,1.76,0.97,62.9
46,Romania,UEFA,1.65,0.89,62.49
47,Costa Rica,CONCACAF,1.62,0.89,61.93
48,Iceland,UEFA,1.78,1.03,61.73
49,Egypt,CAF,1.6,0.94,60.19
50,Tunisia,CAF,1.52,0.87,60.18
51,Cameroon,CAF,1.49,0.87,59.42
52,Greece,UEFA,1.43,0.84,59.03
53,Northern Ireland,UEFA,1.46,0.86,59.01
54,Qatar,AFC,1.61,1.02,58.57
55,Finland,UEFA,1.52,0.94,58.46
56,Scotland,UEFA,1.6,1.02,58.31
57,Slovenia,UEFA,1.46,0.92,57.72
